"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","42 Land traffic accidents","2024",143,2.5,2.5,0.0,82,2.4,2.4,9.1
"Total","43 Other land transport accidents","2000",46,1.0,0.9,-9.1,29,0.9,0.8,0.0
"Total","43 Other land transport accidents","2001",52,1.0,1.0,0.0,34,1.0,1.0,11.1
"Total","43 Other land transport accidents","2002",65,1.3,1.2,30.0,41,1.2,1.2,20.0
"Total","43 Other land transport accidents","2003",56,1.2,1.1,-7.7,29,0.8,0.8,-33.3
"Total","43 Other land transport accidents","2004",58,1.1,1.1,-8.3,42,1.2,1.2,50.0
"Total","43 Other land transport accidents","2005",66,1.3,1.3,18.2,44,1.2,1.3,0.0
"Total","43 Other land transport accidents","2006",57,1.1,1.1,-15.4,36,1.0,1.0,-16.7
"Total","43 Other land transport accidents","2007",52,1.0,1.0,-9.1,35,1.0,1.0,0.0
"Total","43 Other land transport accidents","2008",42,0.8,0.8,-20.0,33,0.9,0.9,-10.0
"Total","43 Other land transport accidents","2009",32,0.6,0.6,-25.0,21,0.6,0.6,-33.3
"Total","43 Other land transport accidents","2010",37,0.7,0.7,16.7,22,0.6,0.6,0.0
"Total","43 Other land transport accidents","2011",32,0.6,0.6,-14.3,19,0.5,0.5,-16.7
"Total","43 Other land transport accidents","2012",28,0.5,0.5,-16.7,16,0.5,0.5,0.0
"Total","43 Other land transport accidents","2013",36,0.7,0.7,40.0,25,0.7,0.7,40.0
"Total","43 Other land transport accidents","2014",41,0.7,0.8,0.0,26,0.7,0.7,0.0
"Total","43 Other land transport accidents","2015",33,0.6,0.6,-14.3,19,0.5,0.5,-28.6
"Total","43 Other land transport accidents","2016",36,0.7,0.7,16.7,18,0.5,0.5,0.0
"Total","43 Other land transport accidents","2017",38,0.7,0.7,0.0,18,0.5,0.5,0.0
"Total","43 Other land transport accidents","2018",35,0.6,0.6,-14.3,25,0.7,0.7,40.0
"Total","43 Other land transport accidents","2019",30,0.5,0.5,-16.7,13,0.4,0.4,-42.9
"Total","43 Other land transport accidents","2020",29,0.5,0.5,0.0,15,0.4,0.4,0.0
"Total","43 Other land transport accidents","2021",35,0.6,0.6,20.0,15,0.4,0.4,0.0
"Total","43 Other land transport accidents","2022",26,0.5,0.5,-16.7,16,0.5,0.5,25.0
"Total","43 Other land transport accidents","2023",16,0.3,0.3,-40.0,8,0.2,0.2,-60.0
"Total","43 Other land transport accidents","2024",31,0.5,0.6,66.7,17,0.5,0.5,150.0
"Total","44 Water transport accidents (V90-V94)","2000",73,1.4,1.4,7.7,63,1.9,1.8,18.8
"Total","44 Water transport accidents (V90-V94)","2001",67,1.4,1.3,0.0,49,1.5,1.4,-21.1
"Total","44 Water transport accidents (V90-V94)","2002",69,1.4,1.3,0.0,46,1.3,1.3,-13.3
"Total","44 Water transport accidents (V90-V94)","2003",71,1.4,1.4,0.0,53,1.5,1.5,15.4
"Total","44 Water transport accidents (V90-V94)","2004",56,1.1,1.1,-21.4,45,1.3,1.3,-13.3
"Total","44 Water transport accidents (V90-V94)","2005",58,1.1,1.1,0.0,44,1.2,1.3,-7.7
"Total","44 Water transport accidents (V90-V94)","2006",73,1.4,1.4,27.3,50,1.4,1.4,16.7
"Total","44 Water transport accidents (V90-V94)","2007",54,1.1,1.0,-21.4,29,0.8,0.8,-42.9
"Total","44 Water transport accidents (V90-V94)","2008",54,1.0,1.0,-9.1,36,1.0,1.0,25.0
"Total","44 Water transport accidents (V90-V94)","2009",48,0.9,0.9,-10.0,29,0.8,0.8,-20.0
"Total","44 Water transport accidents (V90-V94)","2010",48,0.9,0.9,0.0,33,0.9,0.9,12.5
"Total","44 Water transport accidents (V90-V94)","2011",49,0.9,0.9,0.0,32,0.9,0.9,0.0
"Total","44 Water transport accidents (V90-V94)","2012",34,0.6,0.6,-33.3,20,0.6,0.6,-33.3
"Total","44 Water transport accidents (V90-V94)","2013",37,0.7,0.7,16.7,24,0.7,0.7,16.7
"Total","44 Water transport accidents (V90-V94)","2014",47,0.9,0.9,28.6,26,0.7,0.7,0.0
"Total","44 Water transport accidents (V90-V94)","2015",30,0.5,0.5,-44.4,15,0.4,0.4,-42.9
"Total","44 Water transport accidents (V90-V94)","2016",38,0.7,0.7,40.0,22,0.7,0.6,75.0
"Total","44 Water transport accidents (V90-V94)","2017",41,0.7,0.7,0.0,22,0.6,0.6,-14.3
"Total","44 Water transport accidents (V90-V94)","2018",46,0.8,0.8,14.3,19,0.5,0.6,-16.7
"Total","44 Water transport accidents (V90-V94)","2019",34,0.6,0.6,-25.0,17,0.5,0.5,0.0
"Total","44 Water transport accidents (V90-V94)","2020",23,0.4,0.4,-33.3,14,0.4,0.4,-20.0
"Total","44 Water transport accidents (V90-V94)","2021",32,0.6,0.6,50.0,17,0.5,0.5,25.0
"Total","44 Water transport accidents (V90-V94)","2022",26,0.4,0.5,-33.3,10,0.3,0.3,-40.0
"Total","44 Water transport accidents (V90-V94)","2023",22,0.4,0.4,0.0,10,0.3,0.3,0.0
"Total","44 Water transport accidents (V90-V94)","2024",29,0.5,0.5,25.0,13,0.4,0.4,33.3
"Total","45 Others and unspecified transport accidents (V95-V99)","2000",4,0.1,0.1,..,4,0.1,0.1,..
"Total","45 Others and unspecified transport accidents (V95-V99)","2001",5,0.1,0.1,0.0,5,0.1,0.1,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2002",3,0.1,0.1,0.0,3,0.1,0.1,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2003",8,0.2,0.2,100.0,7,0.2,0.2,100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2004",6,0.1,0.1,-50.0,4,0.1,0.1,-50.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2005",8,0.1,0.2,0.0,8,0.2,0.2,100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2006",6,0.1,0.1,0.0,6,0.2,0.2,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2007",3,0.1,0.1,0.0,3,0.1,0.1,-50.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2008",5,0.1,0.1,0.0,5,0.1,0.1,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2009",7,0.1,0.1,0.0,7,0.2,0.2,100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2010",4,0.1,0.1,0.0,3,0.1,0.1,-50.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2011",3,0.1,0.1,0.0,2,0.1,0.1,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2012",6,0.1,0.1,0.0,4,0.1,0.1,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2013",10,0.2,0.2,100.0,8,0.2,0.2,100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2014",12,0.2,0.2,0.0,10,0.3,0.3,50.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2015",1,0.0,0.0,-100.0,1,0.0,0.0,-100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2016",0,0.0,0.0,..,0,0.0,0.0,..
"Total","45 Others and unspecified transport accidents (V95-V99)","2017",2,0.0,0.0,..,2,0.1,0.1,..
"Total","45 Others and unspecified transport accidents (V95-V99)","2018",5,0.1,0.1,..,5,0.1,0.1,0.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2019",2,0.0,0.0,-100.0,1,0.0,0.0,-100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2020",1,0.0,0.0,..,1,0.0,0.0,..
"Total","45 Others and unspecified transport accidents (V95-V99)","2021",0,0.0,0.0,..,0,0.0,0.0,..
"Total","45 Others and unspecified transport accidents (V95-V99)","2022",2,0.0,0.0,..,2,0.1,0.1,..
"Total","45 Others and unspecified transport accidents (V95-V99)","2023",1,0.0,0.0,..,1,0.0,0.0,-100.0
"Total","45 Others and unspecified transport accidents (V95-V99)","2024",1,0.0,0.0,..,1,0.0,0.0,..
"Total","46 Accidental falls (W00-W19)","2000",1053,29.0,20.3,3.6,242,7.3,7.0,-8.8
"Total","46 Accidental falls (W00-W19)","2001",1038,27.8,20.0,-4.1,224,6.6,6.5,-9.6
"Total","46 Accidental falls (W00-W19)","2002",1122,29.5,21.6,6.1,241,7.1,6.9,7.6
"Total","46 Accidental falls (W00-W19)","2003",1184,30.6,22.7,3.7,256,7.5,7.3,5.6
"Total","46 Accidental falls (W00-W19)","2004",1131,28.2,21.6,-7.8,265,7.5,7.6,0.0
"Total","46 Accidental falls (W00-W19)","2005",1239,29.8,23.6,5.7,316,8.9,9.0,18.7
"Total","46 Accidental falls (W00-W19)","2006",1178,27.6,22.4,-7.4,302,8.5,8.6,-4.5
"Total","46 Accidental falls (W00-W19)","2007",1112,25.5,21.0,-7.6,245,6.8,7.0,-20.0
"Total","46 Accidental falls (W00-W19)","2008",1154,26.0,21.7,2.0,223,6.0,6.3,-11.8
"Total","46 Accidental falls (W00-W19)","2009",1188,25.6,22.3,-1.5,235,6.3,6.6,5.0
"Total","46 Accidental falls (W00-W19)","2010",1185,25.0,22.1,-2.3,225,6.0,6.3,-4.8
"Total","46 Accidental falls (W00-W19)","2011",1212,24.9,22.5,-0.4,218,5.8,6.2,-3.3
"Total","46 Accidental falls (W00-W19)","2012",1156,23.2,21.4,-6.8,195,5.2,5.5,-10.3
"Total","46 Accidental falls (W00-W19)","2013",1113,21.9,20.5,-5.6,176,4.8,5.0,-7.7
"Total","46 Accidental falls (W00-W19)","2014",1141,21.9,20.9,0.0,149,4.1,4.3,-14.6
"Total","46 Accidental falls (W00-W19)","2015",1143,21.4,20.9,-2.3,140,3.8,4.0,-7.3
"Total","46 Accidental falls (W00-W19)","2016",1196,21.8,21.8,1.9,150,4.1,4.3,7.9
"Total","46 Accidental falls (W00-W19)","2017",1237,22.1,22.5,1.4,137,3.8,4.0,-7.3
"Total","46 Accidental falls (W00-W19)","2018",1237,21.6,22.4,-2.3,123,3.4,3.6,-10.5
"Total","46 Accidental falls (W00-W19)","2019",1190,20.3,21.6,-6.0,111,3.1,3.2,-8.8
"Total","46 Accidental falls (W00-W19)","2020",1151,19.1,20.8,-5.9,103,2.9,3.0,-6.5
"Total","46 Accidental falls (W00-W19)","2021",1232,19.9,22.2,4.2,93,2.6,2.7,-10.3
"Total","46 Accidental falls (W00-W19)","2022",1268,20.1,22.8,1.0,102,2.9,3.0,11.5
"Total","46 Accidental falls (W00-W19)","2023",1326,20.7,23.7,3.0,105,3.0,3.0,3.4
"Total","46 Accidental falls (W00-W19)","2024",1342,20.5,23.9,-1.0,113,3.2,3.3,6.7
"Total","47 Accidental drownings (W65-W74)","2000",141,2.9,2.7,-27.5,99,3.0,2.9,-25.0
"Total","47 Accidental drownings (W65-W74)","2001",143,2.9,2.8,0.0,92,2.7,2.6,-10.0
"Total","47 Accidental drownings (W65-W74)","2002",163,3.2,3.1,10.3,110,3.2,3.2,18.5
"Total","47 Accidental drownings (W65-W74)","2003",144,2.8,2.8,-12.5,102,2.9,2.9,-9.4
"Total","47 Accidental drownings (W65-W74)","2004",143,2.8,2.7,0.0,91,2.6,2.6,-10.3
"Total","47 Accidental drownings (W65-W74)","2005",144,2.8,2.7,0.0,100,2.8,2.9,7.7
"Total","47 Accidental drownings (W65-W74)","2006",135,2.6,2.6,-7.1,96,2.7,2.7,-3.6
"Total","47 Accidental drownings (W65-W74)","2007",143,2.8,2.7,7.7,79,2.2,2.2,-18.5
"Total","47 Accidental drownings (W65-W74)","2008",118,2.3,2.2,-17.9,70,1.9,2.0,-13.6
"Total","47 Accidental drownings (W65-W74)","2009",124,2.3,2.3,0.0,84,2.3,2.4,21.1
"Total","47 Accidental drownings (W65-W74)","2010",147,2.8,2.7,21.7,88,2.4,2.5,4.3
"Total","47 Accidental drownings (W65-W74)","2011",120,2.2,2.2,-21.4,69,1.8,1.9,-25.0
"Total","47 Accidental drownings (W65-W74)","2012",86,1.7,1.6,-22.7,44,1.3,1.2,-27.8
"Total","47 Accidental drownings (W65-W74)","2013",131,2.4,2.4,41.2,65,1.8,1.9,38.5
"Total","47 Accidental drownings (W65-W74)","2014",115,2.1,2.1,-12.5,62,1.7,1.8,-5.6
"Total","47 Accidental drownings (W65-W74)","2015",111,2.0,2.0,-4.8,62,1.7,1.8,0.0
"Total","47 Accidental drownings (W65-W74)","2016",87,1.5,1.6,-25.0,37,1.0,1.1,-41.2
"Total","47 Accidental drownings (W65-W74)","2017",91,1.6,1.7,6.7,44,1.2,1.3,20.0
"Total","47 Accidental drownings (W65-W74)","2018",122,2.1,2.2,31.3,50,1.4,1.5,16.7
"Total","47 Accidental drownings (W65-W74)","2019",101,1.7,1.8,-19.0,34,1.0,1.0,-28.6
"Total","47 Accidental drownings (W65-W74)","2020",128,2.2,2.3,29.4,52,1.5,1.5,50.0
"Total","47 Accidental drownings (W65-W74)","2021",113,1.9,2.0,-13.6,41,1.2,1.2,-20.0
"Total","47 Accidental drownings (W65-W74)","2022",91,1.5,1.6,-21.1,26,0.8,0.8,-33.3
"Total","47 Accidental drownings (W65-W74)","2023",101,1.7,1.8,13.3,37,1.1,1.1,37.5
"Total","47 Accidental drownings (W65-W74)","2024",93,1.5,1.7,-11.8,34,1.0,1.0,-9.1
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2000",176,3.4,3.4,-2.9,152,4.3,4.4,-2.3
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2001",189,3.7,3.6,8.8,159,4.6,4.6,7.0
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2002",186,3.7,3.6,0.0,155,4.5,4.5,-2.2
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2003",194,3.8,3.7,2.7,166,4.8,4.8,6.7
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2004",218,4.1,4.2,7.9,188,5.3,5.4,10.4
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2005",263,5.0,5.0,22.0,232,6.6,6.6,24.5
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2006",289,5.5,5.5,10.0,251,7.1,7.2,7.6
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2007",326,6.2,6.2,12.7,278,7.9,7.9,11.3
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2008",329,6.2,6.2,0.0,289,8.3,8.2,5.1
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2009",368,7.0,6.9,12.9,317,9.0,8.9,8.4
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2010",314,5.9,5.9,-15.7,274,7.9,7.7,-12.2
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2011",336,6.3,6.2,6.8,301,8.7,8.5,10.1
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2012",284,5.3,5.2,-15.9,250,7.2,7.1,-17.2
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2013",294,5.4,5.4,1.9,255,7.3,7.3,1.4
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2014",243,4.5,4.4,-16.7,210,6.0,6.0,-17.8
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2015",243,4.5,4.4,0.0,205,5.9,5.9,-1.7
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2016",245,4.6,4.5,2.2,216,6.3,6.2,6.8
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2017",291,5.4,5.3,17.4,253,7.5,7.3,19.0
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2018",305,5.6,5.5,3.7,264,7.7,7.7,2.7
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2019",278,5.1,5.0,-8.9,246,7.1,7.2,-7.8
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2020",310,5.7,5.6,11.8,274,8.0,8.0,12.7
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2021",301,5.6,5.4,-1.8,272,8.0,8.0,0.0
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2022",277,5.1,5.0,-8.9,242,7.1,7.1,-11.3
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2023",341,6.2,6.1,21.6,298,8.7,8.6,22.5
"Total","48 Accidental poisonings excl. accidental poisoning by alcohol (X40-X44, X46-X49, Y10-Y15)","2024",252,4.6,4.5,-25.8,218,6.3,6.3,-27.6
"Total","49 Other accidents and sequelae of accidents","2000",449,9.8,8.7,1.0,272,8.1,7.9,1.3
"Total","49 Other accidents and sequelae of accidents","2001",408,8.7,7.9,-11.2,254,7.6,7.3,-6.2
"Total","49 Other accidents and sequelae of accidents","2002",416,8.8,8.0,1.1,243,7.1,7.0,-6.6
"Total","49 Other accidents and sequelae of accidents","2003",434,9.1,8.3,3.4,258,7.3,7.4,2.8
"Total","49 Other accidents and sequelae of accidents","2004",611,12.5,11.7,37.4,351,10.0,10.1,37.0
"Total","49 Other accidents and sequelae of accidents","2005",432,8.9,8.2,-28.8,251,7.1,7.2,-29.0
"Total","49 Other accidents and sequelae of accidents","2006",465,9.5,8.8,6.7,263,7.5,7.5,5.6
"Total","49 Other accidents and sequelae of accidents","2007",436,8.7,8.2,-8.4,252,7.0,7.2,-6.7
"Total","49 Other accidents and sequelae of accidents","2008",463,9.0,8.7,3.4,271,7.4,7.7,5.7
"Total","49 Other accidents and sequelae of accidents","2009",397,7.6,7.4,-15.6,213,5.8,6.0,-21.6
"Total","49 Other accidents and sequelae of accidents","2010",477,9.1,8.9,19.7,254,6.9,7.2,19.0
"Total","49 Other accidents and sequelae of accidents","2011",372,7.1,6.9,-22.0,180,4.8,5.1,-30.4
"Total","49 Other accidents and sequelae of accidents","2012",473,8.8,8.7,23.9,219,6.1,6.2,27.1
"Total","49 Other accidents and sequelae of accidents","2013",389,7.3,7.2,-17.0,176,4.8,5.0,-21.3
"Total","49 Other accidents and sequelae of accidents","2014",426,7.8,7.8,6.8,184,5.1,5.3,6.3
"Total","49 Other accidents and sequelae of accidents","2015",368,6.6,6.7,-15.4,165,4.6,4.7,-9.8
"Total","49 Other accidents and sequelae of accidents","2016",429,7.6,7.8,15.2,157,4.4,4.5,-4.3
"Total","49 Other accidents and sequelae of accidents","2017",427,7.4,7.8,-2.6,168,4.7,4.9,6.8
"Total","49 Other accidents and sequelae of accidents","2018",438,7.6,7.9,2.7,178,5.0,5.2,6.4
"Total","49 Other accidents and sequelae of accidents","2019",436,7.4,7.9,-2.6,167,4.7,4.9,-6.0
"Total","49 Other accidents and sequelae of accidents","2020",376,6.3,6.8,-14.9,119,3.4,3.5,-27.7
"Total","49 Other accidents and sequelae of accidents","2021",438,7.2,7.9,14.3,137,3.9,4.0,14.7
"Total","49 Other accidents and sequelae of accidents","2022",435,7.1,7.8,-1.4,147,4.2,4.3,7.7
"Total","49 Other accidents and sequelae of accidents","2023",451,7.2,8.1,1.4,134,3.8,3.9,-9.5
"Total","49 Other accidents and sequelae of accidents","2024",393,6.2,7.0,-13.9,107,3.1,3.1,-18.4
"Total","50 Suicides (X60-X84, Y870)","2000",1165,22.7,22.5,-4.2,1005,29.0,29.0,-4.3
"Total","50 Suicides (X60-X84, Y870)","2001",1204,23.4,23.2,3.1,1037,30.0,29.9,3.4
"Total","50 Suicides (X60-X84, Y870)","2002",1095,21.5,21.1,-8.1,911,26.3,26.2,-12.3
"Total","50 Suicides (X60-X84, Y870)","2003",1075,20.8,20.6,-3.3,897,25.7,25.7,-2.3
"Total","50 Suicides (X60-X84, Y870)","2004",1064,20.6,20.4,-1.0,880,25.2,25.2,-1.9
"Total","50 Suicides (X60-X84, Y870)","2005",994,19.1,18.9,-7.3,816,23.3,23.3,-7.5
"Total","50 Suicides (X60-X84, Y870)","2006",1062,20.3,20.2,6.3,869,24.7,24.8,6.0
"Total","50 Suicides (X60-X84, Y870)","2007",995,18.9,18.8,-6.9,817,23.2,23.2,-6.1
"Total","50 Suicides (X60-X84, Y870)","2008",1033,19.6,19.4,3.7,867,24.7,24.5,6.5
"Total","50 Suicides (X60-X84, Y870)","2009",1034,19.4,19.4,-1.0,862,24.4,24.3,-1.2
"Total","50 Suicides (X60-X84, Y870)","2010",954,17.8,17.8,-8.2,792,22.3,22.3,-8.6
"Total","50 Suicides (X60-X84, Y870)","2011",912,17.0,16.9,-4.5,743,21.0,21.0,-5.8
"Total","50 Suicides (X60-X84, Y870)","2012",873,16.1,16.1,-5.3,711,20.1,20.2,-4.3
"Total","50 Suicides (X60-X84, Y870)","2013",887,16.3,16.3,1.2,706,20.0,20.1,-0.5
"Total","50 Suicides (X60-X84, Y870)","2014",789,14.6,14.4,-10.4,624,17.9,17.9,-10.5
"Total","50 Suicides (X60-X84, Y870)","2015",731,13.5,13.3,-7.5,570,16.4,16.4,-8.4
"Total","50 Suicides (X60-X84, Y870)","2016",787,14.4,14.3,6.7,600,17.3,17.3,5.5
"Total","50 Suicides (X60-X84, Y870)","2017",824,15.0,15.0,4.2,634,18.3,18.4,5.8
"Total","50 Suicides (X60-X84, Y870)","2018",810,14.6,14.7,-2.7,601,17.4,17.5,-4.9
"Total","50 Suicides (X60-X84, Y870)","2019",746,13.6,13.5,-6.8,573,16.7,16.7,-4.0
"Total","50 Suicides (X60-X84, Y870)","2020",717,13.0,13.0,-4.4,560,16.4,16.4,-1.8
"Total","50 Suicides (X60-X84, Y870)","2021",747,13.5,13.5,3.8,556,16.4,16.3,0.0
"Total","50 Suicides (X60-X84, Y870)","2022",740,13.3,13.3,-1.5,555,16.3,16.2,-0.6
"Total","50 Suicides (X60-X84, Y870)","2023",752,13.5,13.5,1.5,565,16.5,16.4,1.2
"Total","50 Suicides (X60-X84, Y870)","2024",761,13.5,13.5,0.0,598,17.1,17.2,3.6
"Total","51 Assault (X85-Y09, Y871)","2000",139,2.6,2.7,-3.7,122,3.5,3.5,-7.9
"Total","51 Assault (X85-Y09, Y871)","2001",154,2.9,3.0,11.5,138,3.9,4.0,11.4
"Total","51 Assault (X85-Y09, Y871)","2002",133,2.5,2.6,-13.8,109,3.1,3.1,-20.5
"Total","51 Assault (X85-Y09, Y871)","2003",99,1.9,1.9,-24.0,89,2.6,2.6,-16.1
"Total","51 Assault (X85-Y09, Y871)","2004",130,2.4,2.5,26.3,116,3.3,3.3,26.9
"Total","51 Assault (X85-Y09, Y871)","2005",105,2.0,2.0,-16.7,93,2.7,2.7,-18.2
"Total","51 Assault (X85-Y09, Y871)","2006",107,2.0,2.0,0.0,92,2.6,2.6,-3.7
"Total","51 Assault (X85-Y09, Y871)","2007",116,2.2,2.2,10.0,100,2.9,2.8,11.5
"Total","51 Assault (X85-Y09, Y871)","2008",119,2.2,2.2,0.0,108,3.1,3.1,6.9
"Total","51 Assault (X85-Y09, Y871)","2009",110,2.1,2.1,-4.5,94,2.6,2.6,-16.1
"Total","51 Assault (X85-Y09, Y871)","2010",102,1.9,1.9,-9.5,94,2.7,2.6,3.8
"Total","51 Assault (X85-Y09, Y871)","2011",99,1.8,1.8,-5.3,81,2.3,2.3,-14.8
"Total","51 Assault (X85-Y09, Y871)","2012",73,1.3,1.3,-27.8,56,1.6,1.6,-30.4
"Total","51 Assault (X85-Y09, Y871)","2013",78,1.5,1.4,15.4,74,2.2,2.1,37.5
"Total","51 Assault (X85-Y09, Y871)","2014",78,1.4,1.4,-6.7,67,2.0,1.9,-9.1
"Total","51 Assault (X85-Y09, Y871)","2015",70,1.3,1.3,-7.1,63,1.9,1.8,-5.0
"Total","51 Assault (X85-Y09, Y871)","2016",63,1.2,1.1,-7.7,52,1.5,1.5,-21.1
"Total","51 Assault (X85-Y09, Y871)","2017",61,1.1,1.1,-8.3,45,1.3,1.3,-13.3
"Total","51 Assault (X85-Y09, Y871)","2018",68,1.3,1.2,18.2,61,1.8,1.8,38.5
"Total","51 Assault (X85-Y09, Y871)","2019",65,1.2,1.2,-7.7,51,1.5,1.5,-16.7
"Total","51 Assault (X85-Y09, Y871)","2020",75,1.4,1.4,16.7,61,1.8,1.8,20.0
"Total","51 Assault (X85-Y09, Y871)","2021",68,1.2,1.2,-14.3,45,1.3,1.3,-27.8
"Total","51 Assault (X85-Y09, Y871)","2022",62,1.1,1.1,-8.3,53,1.5,1.5,15.4
"Total","51 Assault (X85-Y09, Y871)","2023",50,0.9,0.9,-18.2,38,1.1,1.1,-26.7
"Total","51 Assault (X85-Y09, Y871)","2024",63,1.1,1.1,22.2,51,1.5,1.5,36.4
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2000",109,2.1,2.1,23.5,96,2.7,2.8,22.7
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2001",85,1.7,1.6,-19.0,70,2.0,2.0,-25.9
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2002",88,1.7,1.7,0.0,78,2.2,2.2,10.0
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2003",89,1.7,1.7,0.0,80,2.3,2.3,4.5
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2004",90,1.7,1.7,0.0,78,2.3,2.2,0.0
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2005",88,1.7,1.7,0.0,76,2.2,2.2,-4.3
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2006",80,1.5,1.5,-11.8,65,1.8,1.9,-18.2
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2007",71,1.3,1.3,-13.3,59,1.7,1.7,-5.6
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2008",98,1.9,1.8,46.2,81,2.3,2.3,35.3
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2009",93,1.7,1.7,-10.5,76,2.2,2.1,-4.3
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2010",66,1.2,1.2,-29.4,49,1.4,1.4,-36.4
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2011",75,1.4,1.4,16.7,51,1.4,1.4,0.0
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2012",74,1.4,1.4,0.0,55,1.5,1.6,7.1
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2013",67,1.2,1.2,-14.3,50,1.4,1.4,-6.7
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2014",93,1.7,1.7,41.7,72,2.0,2.1,42.9
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2015",65,1.2,1.2,-29.4,49,1.4,1.4,-30.0
"Total","52 Event of undetermined intent (Y16-Y34, Y872)","2016",74,1.4,1.3,16.7,53,1.6,1.5,14.3
