"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2017",50260,889.9,912.5,-3.2,6435,177.1,186.5,-3.8
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2018",51061,886.1,925.8,-0.4,6319,175.4,183.8,-1.0
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2019",50715,859.3,918.5,-3.0,5976,167.4,174.4,-4.6
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2020",52286,863.5,945.6,0.5,6212,174.9,181.6,4.5
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2021",54089,871.6,976.2,0.9,6070,171.4,177.6,-2.0
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2022",59586,943.2,1072.4,8.2,6143,174.5,179.4,1.8
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2023",57729,901.9,1033.8,-4.4,5959,169.2,172.9,-3.0
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2024",54528,833.6,970.3,-7.6,5544,157.2,159.6,-7.1
"Total","00 COVID-19 virus infection (U071, U072, U109)","2000",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2001",0,0.0,0.0,0.0,0,0.0,0.0,0.0
"Total","00 COVID-19 virus infection (U071, U072, U109)","2002",0,0.0,0.0,0.0,0,0.0,0.0,0.0
